tracks/artist;tracks/album;tracks/track
The Maine;XOXO: From Love & Anxiety In Real Time;Face Towards The Sun
Fall Out Boy;Folie à Deux;America's Suitehearts
Tigers Jaw;spin;June
Tiny Moving Parts;breathe;Polar Bear
Tiny Moving Parts;Celebrate;Common Cold
PVRIS;All We Know Of Heaven  All We Need Of Hell;Heaven
Real Friends;Everyone That Dragged You Here;Anchor Down
Elliott Smith;Either/Or;Say Yes
Kodaline;Shed a Tear;Shed a Tear
Airways;Starting to Spin;One Foot
Modern Baseball;You're Gonna Miss It All;Rock Bottom
Can't Swim;Fail You Again;We Won’t Sleep
Neck Deep;Rain In July / A History Of Bad Decisions;Up In Smoke
The Maine;American Candy;Am I Pretty?
Matt Maeson;Bank On The Funeral;Go Easy
Queen;A Day At The Races;Good Old-Fashioned Lover Boy - Remastered 2011
Can't Swim;This Too Won't Pass;Not the Way It Was
Nothing But Thieves;Nothing But Thieves;Six Billion
The Homeless Gospel Choir;I Used to Be So Young;Holiday Song
Matt Maeson;Bank On The Funeral;Dancing After Death
Neck Deep;Wishful Thinking;What Did You Expect?
YUNGBLUD;Memories (with WILLOW);Memories (with WILLOW)
Lovejoy;Pebble Brain;Oh Yeah  You Gonna Cry?
Ed Sheeran;x;Shirtsleeves
baby of the bunch;Ur Mom;Ur Mom
The Hundred Acre Woods;Modern Baseball / The Hundred Acre Woods Split;Left Of The Hill
Nothing But Thieves;Broken Machine (Deluxe);Particles
Modern Baseball;MOBO Presents: The Perfect Cast EP feat. Modern Baseball;The Thrash Particle
Real Friends;The Home Inside My Head;Stay In One Place
Winnetka Bowling League;CVS;CVS
Beach Bunny;Prom Queen;Painkiller
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Moving to New York
State Champs;Kings of the New Age;Fake It
Hugh Jackman;The Greatest Showman (Original Motion Picture Soundtrack);The Greatest Show
The Maine;Black & White;Saving Grace
Kodaline;Politics of Living;Hide and Seek
Tiny Moving Parts;breathe;Soft Spot
Have Mercy;A Place of Our Own;Nails and Teeth in Pavement
Foals;Holy Fire;My Number
Emma Blackery;Sucks to Be You;Sucks to Be You
All Time Low;Wake Up  Sunshine;Some Kind of Disaster
Michelle Williams;The Greatest Showman (Original Motion Picture Soundtrack);Tightrope
Joyce Manor;Never Hungover Again;End of the Summer
Real Friends;Composure;Get By
The Maine;Forever Halloween (Deluxe Version);Happy
Frankie Cosmos;Close It Quietly;Rings (On A Tree)
Tiny Moving Parts;Celebrate;Minnesota
Sawyer Nunes;I'll Never Be Amazing;Opening
Can't Swim;This Too Won't Pass;Hell in a Handbasket
Lil Nas X;MONTERO;THATS WHAT I WANT
Basement;Promise Everything;For You The Moon
ROAM;Great Heights & Nosedives;Curtain Call
State Champs;Around the World and Back;Shape Up
AS IT IS;The Great Depression;The Stigma (Boys Don’t Cry)
The Greatest Bits;Night in the Woods;Rainy Day
Ed Sheeran;+;Small Bump
Ratwyfe;Mushroom Melancholia;Cryptid (Mothman)
Real Friends;Everyone That Dragged You Here;Keep It Together
Real Friends;This Is Honesty;Monday
Rare Americans;Rare Americans;Cats  Dogs & Rats
Stand Atlantic;Sidewinder;Chemicals
Ryan Oakes;2L8;2L8
The Maine;Lovely Little Lonely;Bad Behavior
Neck Deep;Life's Not Out To Get You;Kali Ma
Joyce Manor;Never Hungover Again;Schley
Kodaline;Coming Up for Air;Better
Have Mercy;Make The Best Of It;Ghost
Lil Nas X;MONTERO (Call Me By Your Name);MONTERO (Call Me By Your Name)
PVRIS;White Noise;Let Them In
Neck Deep;All Distortions Are Intentional;Fall
The Wombats;Glitterbug;This Is Not a Party
The Sonder Bombs;MODERN FEMALE ROCKSTAR;Twinkle Lights
The Front Bottoms;Camouflage;camouflage
Tiny Moving Parts;Celebrate;Minnow
Ed Sheeran;5;Be Like You
Hayley Kiyoko;Expectations;Molecules
ROAM;Great Heights & Nosedives;Guilty Melody
Troye Sivan;TRXYE;The Fault In Our Stars (MMXIV)
Chapel;Some Nights;Some Nights
The Eskies;And Don't Spare The Horses;Napoleon
The Maine;Pioneer & The Good Love;"Don't Give Up On ""Us"""
The Homeless Gospel Choir;I Used to Be So Young;Untitled
Nothing But Thieves;Broken Machine (Deluxe);Number 13
ROAM;Backbone;Tracks
The Homeless Gospel Choir;Presents: Normal;1983
Knuckle Puck;Copacetic;In Your Crosshairs
Boston Manor;Be Nothing.;Burn You Up
Fall Out Boy;Folie à Deux;20 Dollar Nose Bleed
Knuckle Puck;Copacetic;Untitled
Stand Atlantic;f.e.a.r.;doomsday
BØRNS;Dopamine;Electric Love
Thin Lips;"Split 7""";Not Losing Sleep
AJJ;Good Luck Everybody;Body Terror Song
YUNGBLUD;YUNGBLUD;California - Unplugged
Frankie Cosmos;Fit Me In;Young
chloe moriondo;Spirit Orb;Bugbear
Ed Sheeran;x;Bloodstream
Harry Styles;Harry Styles;Two Ghosts
Modern Baseball;Modern Baseball / The Hundred Acre Woods Split;Re-Do
Tiny Moving Parts;breathe;Light Bulb
Meg DeAngelis;Bad for Me;Bad for Me
The Maine;Forever Halloween (Deluxe Version);Vanilla
ROAM;Smile Wide;LOUD
The Front Bottoms;Back on Top;Historic Cemetery
New Found Glory;Resurrection: Ascension;Ready and Willing
Troye Sivan;Blue Neighbourhood;for him.
Knuckle Puck;Shapeshifter;Nervous Passenger
Citizen;Everybody Is Going To Heaven;Cement
Football Club;This Isn't Who I Am / Girlcrush;This Isn't Who I Am
Citizen;I Want to Kill You;I Want to Kill You
Lord Huron;Strange Trails;The Night We Met
Neck Deep;The Peace And The Panic;Don't Wait (ft. Sam Carter)
The Maine;Forever Halloween (Deluxe Version);Blood Red
Matt Maeson;Bank On The Funeral;Hallucinogenics
All Time Low;Future Hearts;Satellite
Neck Deep;Rain In July / A History Of Bad Decisions;I Couldn't Wait To Leave 6 Months Ago
Stand Atlantic;Skinny Dipping;Clay (feat. Hannah Hermione Greenwood)
Aaron West and The Roaring Twenties;Bittersweet;Goodbye  Carolina Blues
The Maine;Pioneer & The Good Love;My Heroine
Tigers Jaw;Charmer;What Would You Do
Tigers Jaw;Charmer;I Envy Your Apathy
AS IT IS;Never Happy  Ever After;Dial Tones - Acoustic Version
Chapel;Room Service;First Love
Tigers Jaw;Warn Me;Warn Me
YUNGBLUD;weird!;it's quiet in beverly hills
Dollar Signs;Yikes;I Hope I Don't Fuck This Up
Knuckle Puck;The Weight That You Buried;Stateside
Aaron West and The Roaring Twenties;We Don't Have Each Other;The Thunderbird Inn
Neck Deep;The Peace And The Panic;Wish You Were Here
All Time Low;Future Hearts;The Edge Of Tonight
Troye Sivan;Blue Neighbourhood;DKLA
The Front Bottoms;In Sickness & In Flames;leaf pile
Microwave;Stovall;Work It Out
Chase Petra;Josslyn;Josslyn
Knuckle Puck;Shapeshifter;Double Helix
The Front Bottoms;In Sickness & In Flames;camouflage
Basement;Promise Everything;Hanging Around
dodie;You - EP;Would You Be So Kind
Crooks & Nannies;Soup for My Girlfriend;Perpetual Mild Illness
Tigers Jaw;spin;Blurry Vision
Bon Iver;For Emma  Forever Ago;Re: Stacks
The Front Bottoms;Going Grey;You Used to Say (Holy Fuck)
*repeat repeat;Floral Canyon;Everybody's Falling In Love
Knuckle Puck;Shapeshifter;Plastic Brains
The Wonder Years;No Closer To Heaven;Thanks for the Ride
Citizen;Youth;Sleep
Basement;Colourmeinkindness;Covet
Fall Out Boy;American Beauty/American Psycho;Uma Thurman
Stand Atlantic;Pink Elephant;Eviligo
New Found Glory;Resurrection: Ascension;The Worst Person
Choir Vandals;Dark Glow;Lucifer Yellow
Basement;Promise Everything;Blinded Bye - Acoustic
All Time Low;Dirty Work;Get Down On Your Knees And Tell Me You Love Me
Ed Sheeran;x;I See Fire
New Found Glory;Resurrection: Ascension;Ready and Willing (Acoustic)
AS IT IS;Never Happy  Ever After;Can't Save Myself
Neck Deep;All Distortions Are Intentional;I Revolve (Around You)
Simple Creatures;Strange Love;How To Live
YUNGBLUD;Parents;parents
Can't Swim;Fail You Again;Hey Amy
Annie DiRusso;Coming Soon;Coming Soon
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;Na Na Na (Na Na Na Na Na Na Na Na Na)
Tiny Moving Parts;Celebrate;Happy Birthday
The Maine;Black & White;Inside of You
ROAM;Backbone;RIP In Peace
The Strokes;The New Abnormal;The Adults Are Talking
mxmtoon;the masquerade;prom dress
Basement;Beside Myself;Nothing Left
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;when the party's over
Kodaline;I Wouldn't Be - EP;Blood and Bones
The Maine;Songs That Saved My Life;Transatlanticism
All Time Low;Nothing Personal;Keep The Change  You Filthy Animal
Boston Manor;Welcome to the Neighbourhood;Funeral Party
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Summers in PA
The Polar Boys;Nothing Has Changed;Nothing Has Changed
YUNGBLUD;21st Century Liability;Doctor Doctor
Matt Maeson;Nelsonwood Lane;Nelsonwood Lane
Crawlers;Fuck Me (I Didn’t Know How To Say);Fuck Me (I Didn’t Know How To Say)
Kodaline;Follow Your Fire;Follow Your Fire
The Front Bottoms;Talon of the Hawk;Lone Star
All Time Low;So Wrong  It's Right (Deluxe Version);Poppin' Champagne
Four Year Strong;Four Year Strong;We All Float Down Here
The Greatest Bits;Night in the Woods;Batter Up
Hugh Jackman;The Greatest Showman (Original Motion Picture Soundtrack);Come Alive
My Chemical Romance;The Black Parade;House of Wolves
Citizen;Everybody Is Going To Heaven;Yellow Love
Cavetown;Lemon Boy;Lemon Boy
Matt Maeson;Who Killed Matt Maeson;Twenty Twelve
Donna Missal;Hurt By You;Hurt By You
Harry Styles;Harry Styles;Sweet Creature
Knuckle Puck;Copacetic;Disdain
The Superweaks;"Split 7""";No Sorrow
Nothing But Thieves;Broken Machine (Deluxe);Get Better
Catie Turner;God Must Hate Me;God Must Hate Me
Ed Sheeran;÷;Happier
Knuckle Puck;While I Stay Secluded;Bedford Falls
Ed Sheeran;÷;Bibia Be Ye Ye
Sorority Noise;Joy  Departed;Art School Wannabe
Tigers Jaw;spin;Oh Time
Fall Out Boy;Folie à Deux;She's My Winona
PVRIS;All We Know Of Heaven  All We Need Of Hell;Separate
All Time Low;Wake Up  Sunshine;Getaway Green
The Homeless Gospel Choir;I Used to Be So Young;Some People
The Maine;Forever Halloween (Deluxe Version);Love and Drugs
The Front Bottoms;Talon of the Hawk;Au Revoir - Adios
The Homeless Gospel Choir;I Used to Be So Young;Armageddon
Citizen;Everybody Is Going To Heaven;My Favorite Color
Harriette;at least i'm pretty;at least i'm pretty
Kodaline;In a Perfect World (Radio Sessions);Latch - Today FM Live version
Ratwyfe;Mushroom Melancholia;Ghost Song
All Time Low;Wake Up  Sunshine;Clumsy
Microwave;Death is a Warm Blanket;Mirrors
Marshmello;Tongue Tied (with YUNGBLUD & blackbear);Tongue Tied (with YUNGBLUD & blackbear)
The Maine;Forever Halloween (Deluxe Version);White Walls
New Found Glory;Resurrection: Ascension;One More Round
Hayley Kiyoko;This Side of Paradise - EP;Given It All
Airways;Trampoline/The End;Trampoline
The Front Bottoms;Going Grey;Bae
PVRIS;White Noise;Fire
Ed Sheeran;+;This
All Time Low;Don't Panic: It's Longer Now!;A Love Like War (feat. Vic Fuentes)
Cavetown;1994;1994
Modern Baseball;Sports;@chl03k
All Time Low;Future Hearts;Cinderblock Garden
Can't Swim;This Too Won't Pass;"""sometimes you meet the right people at the wrong times"""
Nothing But Thieves;Broken Machine (Deluxe);I Was Just a Kid
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;The Kids from Yesterday
State Champs;Living Proof;Frozen
Basement;Colourmeinkindness;Breathe
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Forever Halloween (Acoustic)
Good Boy Daisy;Grey;Grey
The Wombats;Beautiful People Will Ruin Your Life;Cheetah Tongue
Real Friends;Composure;Take A Hint
Boston Manor;Driftwood;See You in Three Years
Harry Styles;Fine Line;Cherry
The Wombats;Glitterbug;Give Me a Try
Matt Maeson;Bank On The Funeral;Tribulation
The Wonder Years;The Greatest Generation;Madelyn
All Time Low;Put Up Or Shut Up (Deluxe Version);Jasey Rae (Acoustic)
All Time Low;So Wrong  It's Right (Deluxe Version);The Beach
Matt Maeson;Never Had to Leave;Blood Runs Red
YUNGBLUD;weird!;weird!
Ed Sheeran;x;New York
YUNGBLUD;13 Reasons Why;Die A Little
YUNGBLUD;YUNGBLUD;Tin Pan Boy
Knuckle Puck;While I Stay Secluded;Alexander Pl.
Royal & the Serpent;F*CKBOI REJECTS;FUCKBOI REJECTS
All Time Low;Wake Up  Sunshine;Melancholy Kaleidoscope
The Maine;American Candy;Another Night on Mars
Real Friends;Acoustic Songs;Home for Fall (Acoustic)
Modern Baseball;Couples Therapy;It's Cold Out Here
Weathers;Happy Pills;Happy Pills
All Time Low;Nothing Personal;Sick Little Games
Hot Milk;Glass Spiders;Glass Spiders
Have Mercy;A Place of Our Own;Inch By Inch
Airways;Listen to Your Friends;Listen to Your Friends
The Front Bottoms;Talon of the Hawk;Tattooed Tears
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;listen before i go
Tough On Fridays;A Fantastic Way To Kill Some Time;Pleased To Meet You
The Front Bottoms;The Front Bottoms;Father
All Time Low;Put Up Or Shut Up (Deluxe Version);Lullabies
AS IT IS;Never Happy  Ever After;Silence (Pretending's So Comfortable)
Grayscale;Adornment;Atlantic
My Chemical Romance;Three Cheers for Sweet Revenge;The Ghost of You
All Time Low;Future Hearts;Missing You
The Front Bottoms;The Front Bottoms;The Beers
Simple Creatures;Strange Love;Adrenaline
The Front Bottoms;Talon of the Hawk;Backflip
Shorelines;How I Feel;How I Feel
The Maine;Black & White;Fuel to the Fire
Cistem Failure;Resilience;Gone
Jack Stauber;Pop Food;Buttercup
Have Mercy;Make The Best Of It;American Bliss
PVRIS;All We Know Of Heaven  All We Need Of Hell;Walk Alone
Stand Atlantic;f.e.a.r.;don't talk [to me]
One Flew West;Trial and Error;Trial and Error
Kerosin95;Trans Agenda Dynastie;Trans Agenda Dynastie
PVRIS;White Noise;Empty
Hayley Kiyoko;Expectations;He'll Never Love You (HNLY)
Tai Verdes;TV;A-O-K
Boston Manor;Driftwood;Wolf
Tilian;Perfect Enemy;HeartFelt
All Time Low;Last Young Renegade;Last Young Renegade
Ratwyfe;Mushroom Melancholia;Underwater World
Paramore;Paramore;Last Hope
The Front Bottoms;Talon of the Hawk;Funny You Should Ask
SYML;SYML;Where's My Love
Ren;Demos(Do Not Share)  Vol. I;Life Is Funny
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Came Out Swinging (Demo)
Queen;A Night At The Opera;Bohemian Rhapsody - Remastered 2011
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;Bulletproof Heart
Stand Atlantic;Pink Elephant;Hate Me (Sometimes)
All Time Low;Dirty Work;Time-Bomb - Acoustic Version
Mario Golf;Animal Kingdom;hh
Kodaline;Coming Up for Air;Unclear
Ed Sheeran;÷;Eraser
Matt Maeson;The Hearse;Cliffy
Matt Maeson;Never Had to Leave;Nelsonwood Lane
All Time Low;Everything Is Fine on Your Birthday;Birthday
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Kill the Director
Citizen;As You Please;Control
Ed Sheeran;5;Sunburn
Kesha;Rainbow;Spaceship
Nothing But Thieves;Broken Machine (Deluxe);Sorry - Acoustic
Citizen;As You Please;Jet
Stand Atlantic;Skinny Dipping;Speak Slow
The Maine;You Are OK;Tears Won't Cry (SHINJŪ)
Matt Maeson;The Hearse;Mr. Rattlebone
Kodaline;I Wouldn't Be - EP;The Riddle
YUNGBLUD;weird!;acting like that (feat. Machine Gun Kelly)
Ziv Zaifman;The Greatest Showman (Original Motion Picture Soundtrack);A Million Dreams
Cosmo Sheldrake;The Much Much How How and I;Come Along
Tigers Jaw;Eyes Shut;Eyes Shut
State Champs;Living Proof;Something About You
Have Mercy;A Place of Our Own;Plastic Covered Furniture
AS IT IS;okay.;Soap
Harry Styles;Fine Line;Adore You
Cavetown;Cavetown;Devil Town
Basement;Colourmeinkindness;Wish
Basement;Promise Everything;Oversized
Real Friends;Maybe This Place Is The Same And We're Just Changing;Short Song
Hayley Kiyoko;Expectations;What I Need (feat. Kehlani)
The Maine;Pioneer & The Good Love;Goodbye
Basement;Promise Everything;Blinded Bye
Modern Baseball;You're Gonna Miss It All;Fine  Great
Matt Maeson;Who Killed Matt Maeson;Straight Razor
Microwave;Stovall;Stovall
PVRIS;Winter;Winter
Steppes;Marceline The Vampire;Marceline The Vampire
Troye Sivan;Blue Neighbourhood;WILD
ROAM;Backbone;Cabin Fever
Can't Swim;This Too Won't Pass;Winter of Cicada
The Maine;XOXO: From Love & Anxiety In Real Time;Sticky
YUNGBLUD;YUNGBLUD;Kill Somebody - Unplugged
The Wombats;Glitterbug;Pink Lemonade
State Champs;Around the World and Back;Hurry up and Wait
Knuckle Puck;Copacetic;True Contrite
Hot Milk;Candy Coated Lie$;Candy Coated Lie$
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Suburbia
Real Friends;This Is Honesty;Skeletons
Stand Atlantic;Skinny Dipping;Roses
Knuckle Puck;Shapeshifter;Want Me Around
Neck Deep;Rain In July / A History Of Bad Decisions;A Part Of Me (feat. Laura Whiteside)
Ed Sheeran;5;Cold Coffee
Real Friends;Put Yourself Back Together;I've Given Up on You
PVRIS;White Noise;Smoke
Real Friends;Composure;Smiling On The Surface
The Maine;Can't Stop Won't Stop;We'll All Be...
Tiny Moving Parts;Swell;Caution
Billie Eilish;dont smile at me;my boy
All Time Low;Put Up Or Shut Up (Deluxe Version);The Party Scene
Basement;Colourmeinkindness;Control
All Time Low;Nothing Personal;Stella
Tiny Moving Parts;breathe;The Midwest Sky
YUNGBLUD;YUNGBLUD;Polygraph Eyes - Unplugged
Crooks & Nannies;Ugly Laugh;Carry Me
Neck Deep;Wishful Thinking;Zoltar Speaks
State Champs;Living Proof;Safe Haven
The Maine;Black & White;Right Girl
The Front Bottoms;Back on Top;Laugh Till I Cry
Fall Out Boy;Folie à Deux;Disloyal Order Of Water Buffaloes
Foals;Holy Fire;Late Night
State Champs;Kings of the New Age;Here to Stay
Knuckle Puck;While I Stay Secluded;Oak Street
All Time Low;Nothing Personal;Damned If I Do Ya (Damned If I Don't)
Ed Sheeran;5;Radio (feat. JME)
Basement;Promise Everything;Aquasun - Acoustic
Kodaline;In A Perfect World (Deluxe);After the Fall
Neck Deep;The Peace And The B Sides;Beautiful Madness
State Champs;Around the World and Back;Secrets - Acoustic
Crown The Empire;The Resistance: Rise Of The Runaways;Machines
The Front Bottoms;In Sickness & In Flames;make way
My Chemical Romance;The Black Parade;Mama
Modern Baseball;Sports;I Think You Were in My Profile Picture Once
Troye Sivan;Bloom;Postcard (feat. Gordi)
The Maine;Pioneer & The Good Love;Like We Did (Windows Down)
Future Teens;Breakup Season;Frequent Crier
AS IT IS;The Great Depression;The Question  The Answer
Queen;Jazz;Don't Stop Me Now - Remastered 2011
Basement;I Wish I Could Stay Here;Grayscale
Hot Milk;I JUST WANNA KNOW WHAT HAPPENS WHEN I'M DEAD - EP;Split Personality
Fall Out Boy;Infinity On High;Hum Hallelujah
PVRIS;White Noise;White Noise
AS IT IS;okay.;Until I Return
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Local Man Ruins Everything (Acoustic)
All Time Low;So Wrong  It's Right (Deluxe Version);Dear Maria  Count Me In (Connect Sets Acoustic)
Cistem Failure;Cistem Failure;Stick Together
Joel Cossette;Songs About Anxiety. And Stuff.;Fuck You Loneliness
All Time Low;So Wrong  It's Right (Deluxe Version);This Is How We Do
Frank Iero;parachutes;Miss Me
YUNGBLUD;weird!;ice cream man
The Maine;Lovely Little Lonely;Lost in Nostalgia
Queen;Sheer Heart Attack;Killer Queen - Remastered 2011
Modern Baseball;Holy Ghost;Mass
Neck Deep;The Peace And The Panic;Happy Judgement Day
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;SING
Stand Atlantic;Skinny Dipping;Lavender Bones
PVRIS;All We Know Of Heaven  All We Need Of Hell;Nola 1
Kesha;Rainbow;Learn To Let Go
Ed Sheeran;+;You Need Me  I Don't Need You
The Wrecks;We Are The Wrecks;Favorite Liar
Hugh Jackman;The Greatest Showman (Original Motion Picture Soundtrack);The Other Side
Frank Iero;parachutes;Oceans
ROAM;Great Heights & Nosedives;Open Water
Kodaline;In A Perfect World (Deluxe);Love Like This
Boston Manor;Be Nothing.;This Song is Dedicated to Nobody
YUNGBLUD;the underrated youth;original me (feat. dan reynolds of imagine dragons)
Chapel;Sunday Brunch;Don't You Love Me
Matt Maeson;Bank On The Funeral;Tread On Me
Stand Atlantic;Sidewinder;Coffee at Midnight
Emma Blackery;Villains;Petty
Hayley Kiyoko;This Side of Paradise - EP;Feeding the Fire
The Greatest Bits;Night in the Woods;Home Again
Modern Baseball;Sports;Hours Outside in the Snow
The Maine;Forever Halloween (Deluxe Version);Bliss
Citizen;Glass Mix 2;Thin Air (Alternative Version)
Nothing But Thieves;Nothing But Thieves;Painkiller
Tiny Moving Parts;Celebrate;Birdhouse
alt-J;An Awesome Wave;Something Good
The Maine;You Are OK;Forevermore
All Time Low;Future Hearts;Tidal Waves (feat. Mark Hoppus)
Daughter;If You Leave;Youth
Hayley Kiyoko;Citrine EP;Ease My Mind
The Maine;Pioneer & The Good Love;Time
Ratwyfe;Mushroom Melancholia;Impostor Syndrome
Girlpool;What Chaos Is Imaginary;Hire
Boston Manor;Be Nothing.;Broken Glass
Panic! At The Disco;Too Weird to Live  Too Rare to Die!;Collar Full
Aaron West and The Roaring Twenties;Bittersweet;Green Like The G Train  Green Like Sea Foam
Nothing But Thieves;Nothing But Thieves;Tempt You (Evocatio)
Chapel;Room Service;Pillow Talk
The Front Bottoms;The Front Bottoms;Legit Tattoo Gun
The Maine;XOXO: From Love & Anxiety In Real Time;Pretender
Citizen;As You Please;World
The Front Bottoms;Going Grey;Everyone but You
Foals;Holy Fire;Milk & Black Spiders
The Regrettes;How Do You Love?;Pumpkin
Kelsy Karter & The Heroines;Missing Person;Liquor Store On Mars
Ed Sheeran;5;Drown Me Out (feat. Ghetts) - + Ghetts
The Front Bottoms;Back on Top;West Virginia
Ed Sheeran;5;Lately (feat. Devlin)
Stand Atlantic;Songs That Saved My Life;Your Graduation
The Wonder Years;No Closer To Heaven;A Song for Ernest Hemingway
Bright Eyes;I'm Wide Awake  It's Morning;Poison Oak
AS IT IS;okay.;Austen
The Wombats;Beautiful People Will Ruin Your Life;Dip You in Honey
Tigers Jaw;spin;Follows
All Time Low;Don't Panic: It's Longer Now!;Me Without You (All I Ever Wanted)
Frank Iero;Keep the Coffins Coming;No Fun Club
Queen;The Works;I Want To Break Free - Remastered 2011
Billy Boyd;The Last Goodbye;The Last Goodbye
Modern Baseball;Couples Therapy;Hope
YUNGBLUD;YUNGBLUD;Medication - Unplugged
Mokita; Stand Atlantic;I’m Sorry
AS IT IS;okay.;Okay
Keala Settle;The Greatest Showman (Original Motion Picture Soundtrack);This Is Me
Real Friends;Get By;Get By
The Interrupters;Fight the Good Fight;She's Kerosene
Neck Deep;The Peace And The Panic;Heavy Lies
Boston Manor;Welcome to the Neighbourhood;Hate You
Tigers Jaw;Charmer;Nervous Kids
Kodaline;In A Perfect World (Deluxe);All I Want
All Time Low;Dirty Work;Time-Bomb
Aaron West and The Roaring Twenties;Bittersweet;67  Cherry Red
Fall Out Boy;American Beauty/American Psycho;Jet Pack Blues
The Front Bottoms;Ann;Today Is Not Real
Stand Atlantic;deathwish (feat. nothing nowhere.);deathwish (feat. nothing nowhere.)
All Time Low;Don't Panic: It's Longer Now!;So Long Soldier
Nothing But Thieves;Broken Machine (Deluxe);Broken Machine
Frank Iero;Stomachaches;Joyriding
All Time Low;Dirty Work;That Girl
Nothing But Thieves;Nothing But Thieves;Graveyard Whistling
Chapel;Mushy Gushy;Mushy Gushy
awfultune;redesign;redesign
Stand Atlantic;Skinny Dipping;Lost My Cool
Real Friends;Maybe This Place Is The Same And We're Just Changing;Old Book
Aaron West and The Roaring Twenties;We Don't Have Each Other;Carolina Coast
Stand Atlantic;Skinny Dipping;Burn In The Afterthought
Basement;Promise Everything;Brother's Keeper
Basement;Promise Everything;Promise Everything
Matt Maeson;Who Killed Matt Maeson;Me and My Friends Are Lonely
All Time Low;Don't Panic: It's Longer Now!;So Long  and Thanks for All the Booze
Basement;I Wish I Could Stay Here;March
Have Mercy;The Earth Pushed Back;Let's Talk About Your Hair
Stand Atlantic;Sidewinder;Push
The Wonder Years;Out On My Feet / Brakeless;Brakeless
AS IT IS;Never Happy  Ever After;Cheapshots & Setbacks - Acoustic Version
Tigers Jaw;spin;Window
New Found Glory;Sticks And Stones;My Friends Over You
The Wonder Years;The Upsides (Deluxe Edition);My Last Semester
Modern Baseball;You're Gonna Miss It All;Your Graduation
Have Mercy;A Place of Our Own;Pete Rose and Babe Ruth
Happy.;Cult Classic;Don't Overdose and Drive
The Maine;XOXO: From Love & Anxiety In Real Time;April 7th
Real Friends;Acoustic Songs;I've Never Been Home
Citizen;Youth;Speaking With A Ghost
ROAM;Great Heights & Nosedives;The Rich Life Of A Poor Man
Mat Kerekes;Ruby;Diamonds
YUNGBLUD;the underrated youth;waiting on the weekend
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Don't Let Me Cave In
ROAM;Great Heights & Nosedives;Left For Dead
chloe moriondo;Animal Kingdom;Waves - Piano
Tiny Moving Parts;breathe;Vertebrae
The Maine;Can't Stop Won't Stop;This Is The End
Modern Baseball;Holy Ghost;Everyday
State Champs;Living Proof;Lightning
Billie Eilish;my future;my future
Boston Manor;Be Nothing.;Laika
The Happy Fits;Concentrate;Heart of a Dancer
Have Mercy;Make The Best Of It;Drive
Kodaline;Politics of Living;Don't Come Around
Neck Deep;All Distortions Are Intentional;Telling Stories
New Found Glory;Resurrection: Ascension;Selfless
The Maine;XOXO: From Love & Anxiety In Real Time;Dirty  Pretty  Beautiful
AS IT IS;Never Happy  Ever After;Turn Back To Me
Briston Maroney;Freakin' Out On The Interstate;Freakin' Out On the Interstate
The Front Bottoms;In Sickness & In Flames;bus beat
Tigers Jaw;Charmer;Divide
Herman's Hermits;The Very Best Of Herman's Hermits;No Milk Today
The Front Bottoms;Rose;Awkward Conversations
AS IT IS;Never Happy  Ever After;You  The Room & The Devil On Your Shoulder
The Front Bottoms;Back on Top;Cough It Out
Frank Iero;Stomachaches;Where Do We Belong? Anywhere But Here
Troye Sivan;Blue Neighbourhood;TALK ME DOWN
Nothing But Thieves;Nothing But Thieves;Itch
Tiny Moving Parts;Swell;Whale Watching
State Champs;Kings of the New Age;Some Minds Don't Change
The Homeless Gospel Choir;I Used to Be So Young;Slow Down the Time
Neck Deep;Life's Not Out To Get You;Rock Bottom
My Chemical Romance;Three Cheers for Sweet Revenge;You Know What They Do to Guys Like Us in Prison
All Time Low;Wake Up  Sunshine;Basement Noise
The Eskies;After the Sherry Went Round;When the Storm Came
Ed Sheeran;5;Sofa
Emma Blackery;Villains;Take Me Out
YUNGBLUD;the underrated youth;braindead!
The Front Bottoms;In Sickness & In Flames;the truth
Hayley Kiyoko;Expectations;Sleepover
Basement;Colourmeinkindness;Pine
Gerard Way;Baby You're a Haunted House;Baby You're a Haunted House
Matt Maeson;Never Had to Leave;Lonely As You
Modern Baseball;You're Gonna Miss It All;Notes
The Front Bottoms;Ann;Pale Beneath the Tan (Squeeze)
Harry Styles;Fine Line;Lights Up
Now; Now;Threads
The Front Bottoms;In Sickness & In Flames;Fairbanks  Alaska
Oxford Remedy;Fake;Fake
